aer;Adam Looney;plo82
aer;Adnan Q Khan;pkh282
aer;Adrian Peralta Alva;ppe47
aer;Adriana Lleras Muney;pll45
aer;Adrien Auclert;pau84
aer;Alain Cohn;pco713
aer;Alan Fernihough;pfe287
aer;Alex Imas;pim44
aer;Alexander Frankel;pfr12
aer;Allan Drazen;pdr25
aer;Allan Timmermann;pti8
aer;Alvaro J Name Correa;pri7
aer;Amir Yaron;pya156
aer;Andrea Lanteri;pla704
aer;Andrei Markevich;pma1101
aer;Anton Tsoy;pts166
aer;Antonio Rangel;pra69
aer;Arun G Chandrasekhar;pch1351
aer;Ashok Kotwal;pko353
aer;Avery M Guest;pgu391
aer;Axel Anderson;pan313
aer;Aysegul Sahin;psa123
aer;Bart J Bronnenberg;pbr235
aer;Bartholomew J Moore;pmo265
aer;Beatrice Weder;pwe114
aer;Ben M Sand;psa1145
aer;Bengt Holmstrom;pho488
aer;Benjamin F Jones;pjo400
aer;Bernd Irlenbusch;pir9
aer;Carlo Galli;pga1034
aer;Carlos Garriga;pga130
aer;Carola Frydman;pfr240
aer;Chiara Criscuolo;pcr53
aer;Christian Hansen;pha982
aer;Christiane Baumeister;pba832
aer;Christoph Rothe;pro206
aer;Christopher A Parsons;ppa751
aer;Christopher Blattman;pbl37
aer;Christopher Gust;pgu329
aer;Dale W Jorgenson;pjo23
aer;Dan M Levy;ple114
aer;Daniel Yi Xu;pxu119
aer;Daria Taglioni;pta176
aer;David Besanko;pbe431
aer;David Lopez Salido;plo26
aer;David P Byrne;pby10
aer;David Powell;ppo594
aer;David Seim;pse464
aer;Decio Coviello;pco367
aer;Derek Neal;pne138
aer;Doh Shin Jeon;pje101
aer;E Elisabet Rutstrom;pru237
aer;E Glen Weyl;pwe266
aer;E Woodrow Eckard;pec38
aer;Enrique Seira;pse492
aer;Erik Brynjolfsson;pbr87
aer;Erik Snowberg;psn15
aer;Esther Ann Boler;pbl198
aer;Ethan G Lewis;ple579
aer;Ethan Ilzetzki;pil21
aer;Eugene F Fama;pfa110
aer;Eva de Francisco;pde409
aer;Fabio Maccheroni;pma1437
aer;Faruk Gul;pgu73
aer;Feng Zhu;pzh106
aer;Fernanda Brollo;pbr369
aer;Fernando Alvarez;pal356
aer;Fran ois Fontaine;pfo23
aer;Francois Ortalo Magne;por21
aer;Franklin Qian;pqi103
aer;Gabriel Ulyssea;pul37
aer;Gabrielle Fack;pfa151
aer;Gary D Libecap;pli409
aer;Georgy Egorov;peg15
aer;Greg Kaplan;pka660
aer;Guido Ascari;pas4
aer;Guillaume R Frechette;pfr202
aer;Guillaume R Frochette;pfr202
aer;Guillaume Rocheteau;pro264
aer;Guillermo Ordo ez;por40
aer;Guo Xu;pxu79
aer;Gustavo Ventura;pve11
aer;H D Vinod;pvi162
aer;H Naci Mocan;pmo270
aer;H Spencer Banzhaf;pba328
aer;Harold Cole;pco70
aer;Heather Antecol;pan18
aer;Hiroki Nishimura;pni314
aer;Hongfei Sun;psu159
aer;Hongru Tan;pta790
aer;Huan Xie;pxi56
aer;Hugo A Hopenhayn;pho217
aer;Hunt Allcott;pal171
aer;Hyeok Jeong;pje38
aer;Ian Dew Becker;pde268
aer;Ian L Gale;pga548
aer;Ignacio Ortuno Ortin;por64
aer;In Koo Cho;pch1518
aer;J Mark Ramseyer;pra256
aer;J r me Adda;pad119
aer;JA n Steinsson;pst155
aer;Jae Sim;psi231
aer;Jakub Kastl;pka793
aer;James A Schmitz Jr;psc70
aer;James D Hamilton;pha60
aer;James Mahon;pma1518
