journal|year|author|repec
American Economic Review|2010|Angus Deaton|pde30
American Economic Review|2010|Timothy G. Conley|pco561
American Economic Review|2010|Christopher R. Udry|pud2
American Economic Review|2010|Andrew B. Bernard|pbe478
American Economic Review|2010|Stephen J. Redding|pre64
American Economic Review|2010|Peter K. Schott|psc98
American Economic Review|2010|Martha J. Bailey|pba669
American Economic Review|2010|Gunter J. Hitsch|none
American Economic Review|2010|Ali Hortaçsu|pho408
American Economic Review|2010|Dan Ariely|none
American Economic Review|2010|Roberto M. Samaniego|psa122
American Economic Review|2010|Amitabh Chandra|pch893
American Economic Review|2010|Jonathan Gruber|pgr20
American Economic Review|2010|Robin McKnight|pmc188
American Economic Review|2010|Josh Lerner|ple60
American Economic Review|2010|Ulrike Malmendier|pma1397
American Economic Review|2010|Ann Harrison|pha441
American Economic Review|2010|Jason Scorse|none
American Economic Review|2010|Michael Woodford|pwo3
American Economic Review|2010|Gita Gopinath|pgo327
American Economic Review|2010|Oleg Itskhoki|pit14
American Economic Review|2010|Roberto Rigobon|pri12
American Economic Review|2010|Roberto Rigobon|pri12
American Economic Review|2010|Xavier Mateos-Planas|pma171
American Economic Review|2010|Kei-Mu Yi|pyi44
American Economic Review|2010|Henrik Horn|pho182
American Economic Review|2010|Giovanni Maggi|pma1315
American Economic Review|2010|Robert W. Staiger|pst85
American Economic Review|2010|Klaus Abbink|pab191
American Economic Review|2010|Jordi Brandts|pbr469
American Economic Review|2010|Benedikt Herrmann|none
American Economic Review|2010|Sylvain Chassang|pch604
American Economic Review|2010|Eric Van den Steen|pva91
American Economic Review|2010|Sophocles Mavroeidis|pma404
American Economic Review|2010|Jeffrey Carpenter|pca67
American Economic Review|2010|Peter Hans Matthews|pma146
American Economic Review|2010|John Schirm|psc291
American Economic Review|2010|Philip R. Lane|pla15
American Economic Review|2010|Jay C. Shambaugh|psh497
American Economic Review|2010|Urs Fischbacher|pfi115
American Economic Review|2010|Simon Gachter|pga108
American Economic Review|2010|Tomomi Tanaka|pta140
American Economic Review|2010|Colin F. Camerer|pca47
American Economic Review|2010|Quang Nguyen|png86
American Economic Review|2010|Kenneth A. Couch|pco89
American Economic Review|2010|Dana W. Placzek|none
American Economic Review|2010|Mark Duggan|pdu194
American Economic Review|2010|Fiona Scott Morton|none
American Economic Review|2010|Roger E. A. Farmer|pfa3
American Economic Review|2010|Daniel F. Waggoner|pwa463
American Economic Review|2010|Tao Zha|pzh80
American Economic Review|2010|Troy Davig|pda131
American Economic Review|2010|Eric M. Leeper|ple3
American Economic Review|2010|Bo Chen|pch458
American Economic Review|2010|Gary E. Bolton|pbo138
American Economic Review|2010|Axel Ockenfels|poc7
American Economic Review|2010|Hal R. Varian|pva5
American Economic Review|2010|Robert J. Gordon|pgo50
American Economic Review|2010|James H. Stock|pst148
American Economic Review|2010|Mark W. Watson|pwa582
American Economic Review|2010|S. Boragan Aruoba|par34
American Economic Review|2010|Francis X. Diebold|pdi1
American Economic Review|2010|Allen Sinai|none
American Economic Review|2010|Harald Uhlig|puh1
American Economic Review|2010|Jesús Fernández-Villaverde|pfe14
American Economic Review|2010|Giancarlo Corsetti|pco185
American Economic Review|2010|Keith Kuester|pku226
American Economic Review|2010|André Meier|pme351
American Economic Review|2010|Gernot J. Müller|pml7
American Economic Review|2010|Andrei Shleifer|psh93
American Economic Review|2010|Robert W. Vishny|pvi218
American Economic Review|2010|Atif Mian|pmi415
American Economic Review|2010|Amir Sufi|psu303
American Economic Review|2010|Victoria Ivashina|none
American Economic Review|2010|David Scharfstein|psc177
American Economic Review|2010|Natalia Ramondo|pra566
American Economic Review|2010|Andrés Rodríguez-Clare|pro372
American Economic Review|2010|Lee E. Ohanian|poh1
American Economic Review|2010|Mark L. J. Wright|pwr6
American Economic Review|2010|Sirsha Chatterjee|none
American Economic Review|2010|Kanda Naknoi|pna118
American Economic Review|2010|Michele Cavallo|none
American Economic Review|2010|Anthony Landry|pla203
American Economic Review|2010|Daron Acemoglu|pac16
American Economic Review|2010|Pierre Yared|pya107
American Economic Review|2010|Dani Rodrik|pro60
American Economic Review|2010|Paul M. Romer|pro45
American Economic Review|2010|Carol A. Corrado|pco464
American Economic Review|2010|Charles R. Hulten|none
American Economic Review|2010|Nicholas Bloom|pbl55
American Economic Review|2010|John Van Reenen|pva45
American Economic Review|2010|Rachel Soloveichik|none
American Economic Review|2010|Daron Acemoglu|pac16
American Economic Review|2010|Pascaline Dupas|pdu104
American Economic Review|2010|Jonathan Robinson|pro377
American Economic Review|2010|Erica Field|none
American Economic Review|2010|Seema Jayachandran|pja86
American Economic Review|2010|Rohini Pande|ppa900
American Economic Review|2010|Ernest Aryeetey|none
American Economic Review|2010|Christopher Udry|pud2
American Economic Review|2010|Avner Greif|pgr24
American Economic Review|2010|Guido Tabellini|pta37
American Economic Review|2010|Karla Hoff|pho255
American Economic Review|2010|Joseph E. Stiglitz|pst33
American Economic Review|2010|Nathan Nunn|pnu17
American Economic Review|2010|Philippe Aghion|pag175
American Economic Review|2010|Mathias Dewatripont|pde423
American Economic Review|2010|Julian Kolev|none
American Economic Review|2010|Fiona Murray|none
American Economic Review|2010|Scott Stern|none
American Economic Review|2010|Joachim Henkel|phe144
American Economic Review|2010|Stephen M. Maurer|none
American Economic Review|2010|Suzanne Scotchmer|psc49
American Economic Review|2010|Mark Gehlhar|none
American Economic Review|2010|Agapi Somwaru|pso261
American Economic Review|2010|Peter B. Dixon|pdi339
American Economic Review|2010|Maureen T. Rimmer|pri123
American Economic Review|2010|Ashley R. Winston|none
American Economic Review|2010|Jarrett Whistance|none
American Economic Review|2010|Wyatt W. Thompson|none
American Economic Review|2010|Seth D. Meyer|none
American Economic Review|2010|Gal Hochman|pho372
American Economic Review|2010|Deepak Rajagopal|pra425
American Economic Review|2010|David Zilberman|pzi8
American Economic Review|2010|Rucker C. Johnson|pjo146
American Economic Review|2010|Rodney J. Andrews|none
American Economic Review|2010|Trevon D. Logan|plo110
American Economic Review|2010|Ngina Chiteji|none
American Economic Review|2010|Francisca M. Antman|pan425
American Economic Review|2010|Colleen Flaherty Manchester|none
American Economic Review|2010|Fali Huang|phu135
American Economic Review|2010|Peter Cappelli|phu135
American Economic Review|2010|Colleen Flaherty Manchester|none
American Economic Review|2010|Lisa M. Leslie|none
American Economic Review|2010|Amit Kramer|none
American Economic Review|2010|Delia Furtado|pfu51
American Economic Review|2010|Heinrich Hock|pho147
American Economic Review|2010|Gary S. Becker|pbe29
American Economic Review|2010|William H. J. Hubbard|pbe29
American Economic Review|2010|Kevin M. Murphy|pmu108
American Economic Review|2010|Gabriella Conti|pco273
American Economic Review|2010|James Heckman|phe22
American Economic Review|2010|Sergio Urzua|pur49
American Economic Review|2010|Joshua D. Angrist|pan29
American Economic Review|2010|Susan M. Dynarski|pdy1
American Economic Review|2010|Thomas J. Kane|none
American Economic Review|2010|Parag A. Pathak|ppa503
American Economic Review|2010|Christopher R. Walters|none
American Economic Review|2010|Isaac Ehrlich|peh1
American Economic Review|2010|Jong Kook Shin|psh843
American Economic Review|2010|Dan Goldhaber|none
American Economic Review|2010|Michael Hansen|none
American Economic Review|2010|John H. Tyler|pty2
American Economic Review|2010|Eric S. Taylor|none
American Economic Review|2010|Thomas J. Kane|none
American Economic Review|2010|Amy L. Wooten|none
American Economic Review|2010|Jonah E. Rockoff|none
American Economic Review|2010|Cecilia Speroni|none
American Economic Review|2010|Eric A. Hanushek|pha97
American Economic Review|2010|Steven G. Rivkin|pri265
American Economic Review|2010|Lester Hadsell|none
American Economic Review|2010|Vincent G. Munley|none
American Economic Review|2010|Eoghan Garvey|none
American Economic Review|2010|Michael J. McConnell|none
American Economic Review|2010|William Lee|none
American Economic Review|2010|Richard H. Courtney|pba715
American Economic Review|2010|Steven J. Balassi|pba715
American Economic Review|2010|Kim P. Huynh|phu77
American Economic Review|2010|David T. Jacho-Chávez|pja134
American Economic Review|2010|James K. Self|none
American Economic Review|2010|David Chan|pbl79
American Economic Review|2010|Jonathan Gruber|pgr20
American Economic Review|2010|Sharon K. Long|none
American Economic Review|2010|Alshadye Yemane|none
American Economic Review|2010|Karen Stockley|none
American Economic Review|2010|Amitabh Chandra|pch893
American Economic Review|2010|Jonathan Gruber|pgr20
American Economic Review|2010|Robin McKnight|pmc188
American Economic Review|2010|Patrick L. Mason|pma376
American Economic Review|2010|Pia M. Orrenius|por73
American Economic Review|2010|Madeline Zavodny|pza33
American Economic Review|2010|Dakshina G. De Silva|pde223
American Economic Review|2010|Robert P. McComb|none
American Economic Review|2010|Young-Kyu Moh|pmo398
American Economic Review|2010|Anita R. Schiller|psc508
American Economic Review|2010|Andres J. Vargas|none
American Economic Review|2010|Guido Menzio|pme246
American Economic Review|2010|Shouyong Shi|psh12
American Economic Review|2010|Giuseppe Moscarini|pmo86
American Economic Review|2010|Fabien Postel-Vinay|ppo9
American Economic Review|2010|Dale T. Mortensen|pmo42
American Economic Review|2010|Pietro Garibaldi|pga26
American Economic Review|2010|Espen R. Moen|pmo334
American Economic Review|2010|Francine D. Blau|pbl16
American Economic Review|2010|Janet M. Currie|pcu13
American Economic Review|2010|Rachel T. A. Croson|pcr18
American Economic Review|2010|Donna K. Ginther|none
American Economic Review|2010|Christiana Hilmer|none
American Economic Review|2010|Michael Hilmer|none
American Economic Review|2010|Andrea Weber|pwe32
American Economic Review|2010|Christine Zulehner|pzu13
American Economic Review|2010|Urvi Neelakantan|pne108
American Economic Review|2010|Yunhee Chang|none
American Economic Review|2010|Patrick Bayer|pba636
American Economic Review|2010|Bryan Ellickson|none
American Economic Review|2010|Paul B. Ellickson|pel140
American Economic Review|2010|Enrico Moretti|pmo392
American Economic Review|2010|Nathaniel Baum-Snow|pba599
American Economic Review|2010|Patrick Kline|pkl131
American Economic Review|2010|Joseph E. Stiglitz|pst33
American Economic Review|2010|Anton Korinek|pko142
American Economic Review|2010|Agustin Roitman|none
American Economic Review|2010|Carlos A. Végh|pve34
American Economic Review|2010|Javier Bianchi|pbi159
American Economic Review|2010|Olivier Jeanne|pje59
American Economic Review|2010|Anton Korinek|pko142
American Economic Review|2010|Andrew B. Bernard|pbe478
American Economic Review|2010|J. Bradford Jensen|pje75
American Economic Review|2010|Stephen J. Redding|pre64
American Economic Review|2010|Peter K. Schott|psc98
American Economic Review|2010|Bernardo S. Blum|none
American Economic Review|2010|Sebastian Claro|pcl17
American Economic Review|2010|Ignatius Horstmann|pho167
American Economic Review|2010|Pol Antrás|pan181
American Economic Review|2010|Arnaud Costinot|pco355
American Economic Review|2010|Raymond Fisman|pfi257
American Economic Review|2010|Yongxiang Wang|none
American Economic Review|2010|Nicholas Bloom|pbl55
American Economic Review|2010|Raffaella Sadun|psa385
American Economic Review|2010|John Van Reenen|pva45
American Economic Review|2010|Chiara Criscuolo|pcr53
American Economic Review|2010|Luis Garicano|pga77
American Economic Review|2010|Andrew B. Bernard|pbe478
American Economic Review|2010|J. Bradford Jensen|pje75
American Economic Review|2010|Stephen J. Redding|pre64
American Economic Review|2010|Peter K. Schott|psc98
American Economic Review|2010|Robin Burgess|pbu12
American Economic Review|2010|Dave Donaldson|pdo56
American Economic Review|2010|Benjamin F. Jones|pjo400
American Economic Review|2010|Benjamin A. Olken|pol170
American Economic Review|2010|John Hassler|pha2
American Economic Review|2010|Per Krusell|pkr102
American Economic Review|2010|Conny Olovsson|pol158
American Economic Review|2010|Joshua Elliott|ppe803
American Economic Review|2010|Ian Foster|none
American Economic Review|2010|Samuel Kortum|pko74
American Economic Review|2010|Todd Munson|none
American Economic Review|2010|Fernando Pérez Cervantes|ppe803
American Economic Review|2010|David Weisbach|none
American Economic Review|2010|Meghan R. Busse|none
American Economic Review|2010|Jorge M. Silva-Risso|none
American Economic Review|2010|Panle Jia|pji114
American Economic Review|2010|Parag A. Pathak|ppa503
American Economic Review|2010|Dora Gicheva|pgi195
American Economic Review|2010|Justine Hastings|pha804
American Economic Review|2010|Sofia Villas-Boas|pvi38
American Economic Review|2010|Leemore Dafny|none
American Economic Review|2010|Katherine Ho|pho493
American Economic Review|2010|Mauricio Varela|none
American Economic Review|2010|Ronel Elul|none
American Economic Review|2010|Nicholas S. Souleles|pso104
American Economic Review|2010|Souphala Chomsisengphet|none
American Economic Review|2010|Dennis Glennon|none
American Economic Review|2010|Robert Hunt|phu40
American Economic Review|2010|Sumit Agarwal|pag47
American Economic Review|2010|Gene Amromin|pam179
American Economic Review|2010|Itzhak Ben-David|pbe619
American Economic Review|2010|Souphala Chomsisengphet|none
American Economic Review|2010|Douglas D. Evanoff|pev37
American Economic Review|2010|Oliver Faltin-Traeger|none
American Economic Review|2010|Kathleen W. Johnson|pli296
American Economic Review|2010|Christopher Mayer|pma212
American Economic Review|2010|Uday Rajan|pvi304
American Economic Review|2010|Amit Seru|pse308
American Economic Review|2010|Vikrant Vig|pvi304
American Economic Review|2010|Susan E. Woodward|none
American Economic Review|2010|Robert E. Hall|pha128
American Economic Review|2010|James M. Lacko|none
American Economic Review|2010|Janis K. Pappalardo|none
American Economic Review|2010|Hui Chen|pch718
American Economic Review|2010|Scott Joslin|none
American Economic Review|2010|Ngoc-Khanh Tran|none
American Economic Review|2010|Riccardo Colacito|pco212
American Economic Review|2010|Mariano M. Croce|pcr73
American Economic Review|2010|Leonid Kogan|pko698
American Economic Review|2010|Dimitris Papanikolaou|ppa463
American Economic Review|2010|Ravi Bansal|pba818
American Economic Review|2010|Ivan Shaliastovich|none
American Economic Review|2010|Ravi Bansal|pba818
American Economic Review|2010|Dana Kiku|none
American Economic Review|2010|Amir Yaron|pya156
American Economic Review|2010|Harjoat S. Bhamra|pbh48
American Economic Review|2010|Lars-Alexander Kuehn|none
American Economic Review|2010|Ilya A. Strebulaev|pst526
American Economic Review|2010|Ralph S. J. Koijen|pko589
American Economic Review|2010|Hanno Lustig|plu17
American Economic Review|2010|Stijn Van Nieuwerburgh|pva368
American Economic Review|2010|Adrien Verdelhan|pve80
American Economic Review|2010|Anh Le|ple505
American Economic Review|2010|Kenneth J. Singleton|psi735
American Economic Review|2010|Charles Engel|pen14
American Economic Review|2010|Kenneth D. West|pwe16
American Economic Review|2010|Jeffrey Frankel|pfr12
American Economic Review|2010|Daniel Xie|pxi58
American Economic Review|2010|Carmen M. Reinhart|pre33
American Economic Review|2010|Kenneth S. Rogoff|pro164
American Economic Review|2010|Monika Piazzesi|ppi37
American Economic Review|2010|Martin Schneider|psc69
American Economic Review|2010|Robin Greenwood|none
American Economic Review|2010|Dimitri Vayanos|pva498
American Economic Review|2010|Michael J. Fleming|pfl35
American Economic Review|2010|Warren B. Hrung|phr24
American Economic Review|2010|Frank M. Keane|none
American Economic Review|2010|Benjamin Edelman|none
American Economic Review|2010|Michael Schwarz|none
American Economic Review|2010|Jonathan Levin|ple318
American Economic Review|2010|Paul Milgrom|pmi34
American Economic Review|2010|Susan Athey|pat6
American Economic Review|2010|Joshua S. Gans|pga42
American Economic Review|2010|Suresh de Mel|pde587
American Economic Review|2010|David McKenzie|pmc29
American Economic Review|2010|Christopher Woodruff|pwo165
American Economic Review|2010|Nicholas Bloom|pbl55
American Economic Review|2010|Aprajit Mahajan|pma977
American Economic Review|2010|David McKenzie|pmc29
American Economic Review|2010|John Roberts|pro554
American Economic Review|2010|Supreet Kaur|none
American Economic Review|2010|Michael Kremer|pkr20
American Economic Review|2010|Sendhil Mullainathan|pmu103
American Economic Review|2010|Miriam Bruhn|pbr267
American Economic Review|2010|Dean Karlan|pka56
American Economic Review|2010|Antoinette Schoar|psc180
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|Charles E. Scott|none
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|Robert A. Moffitt|none
American Economic Review|2010|Roger H. Gordon|pgo95
American Economic Review|2010|David Autor|pdo78
American Economic Review|2010|David Autor|pdo78
American Economic Review|2010|David Autor|pdo78
American Economic Review|2010|Esther Duflo|pdu166
American Economic Review|2010|Alan J. Auerbach|pau33
American Economic Review|2010|Steven J. Davis|pda15
American Economic Review|2010|Andrew Postlewaite|none
American Economic Review|2010|John J. Siegfried|none
American Economic Review|2010|Michael Watts|pwa378
American Economic Review|2010|Barbara M. Fraumeni|none
American Economic Review|2010|Ngina Chiteji|none
American Economic Review|2010|Matthew D. Shapiro|psh144
American Economic Review|2010|Katherine G. Abraham|pab32
American Economic Review|2010|William R. Johnson|pjo99
American Economic Review|2010|Samantha Bennett|none
American Economic Review|2010|Robert E. Hall|pha128
American Economic Review|2010|Elinor Ostrom|pos55
American Economic Review|2010|Oliver E. Williamson|pwi200
American Economic Review|2010|Christian Broda|none
American Economic Review|2010|David E. Weinstein|pwe34
American Economic Review|2010|John Asker|none
American Economic Review|2010|Christina D. Romer|pro406
American Economic Review|2010|Christina D. Romer|pro406
American Economic Review|2010|David H. Romer|pro407
American Economic Review|2010|David H. Romer|pro407
American Economic Review|2010|William Fuchs|pfu46
American Economic Review|2010|Andrzej Skrzypacz|psk11
American Economic Review|2010|Meredith Fowlie|none
American Economic Review|2010|Philippe Bacchetta|pba111
American Economic Review|2010|Eric van Wincoop|pva387
American Economic Review|2010|Dennis Epple|pep21
American Economic Review|2010|Brett Gordon|pgo263
American Economic Review|2010|Holger Sieg|none
American Economic Review|2010|Katrin Tinn|pti91
American Economic Review|2010|Craig E. Landry|pla339
American Economic Review|2010|Andreas Lange|pla289
American Economic Review|2010|John A. List|pli176
American Economic Review|2010|Michael K. Price|ppr89
American Economic Review|2010|Nicholas G. Rupp|pru112
American Economic Review|2010|Joseph Tao-yi Wang|pwa370
American Economic Review|2010|Michael Spezio|none
American Economic Review|2010|Colin F. Camerer|pca47
American Economic Review|2010|Erhan Artuç|par221
American Economic Review|2010|Shubham Chaudhuri|none
American Economic Review|2010|John McLaren|pmc174
American Economic Review|2010|Stijn Ferrari|none
American Economic Review|2010|Frank Verboven|pve137
American Economic Review|2010|Hans Degryse|pde418
American Economic Review|2010|Søren Leth-Petersen|ple913
American Economic Review|2010|Jan Eeckhout|pee1
American Economic Review|2010|Nicola Persico|ppe261
American Economic Review|2010|Petra E. Todd|pto286
American Economic Review|2010|Wei Li|pli294
American Economic Review|2010|Wei Li|pli294
American Economic Review|2010|Robert E. Hall|pha128
American Economic Review|2010|Susan E. Woodward|none
American Economic Review|2010|Glenn Ellison|pel10
American Economic Review|2010|Edward L. Glaeser|pgl9
American Economic Review|2010|William R. Kerr|pke127
American Economic Review|2010|Burcu Eyigungor|pey6
American Economic Review|2010|Thomas Dohmen|pdo43
American Economic Review|2010|Armin Falk|pfa48
American Economic Review|2010|David Huffman|phu45
American Economic Review|2010|Uwe Sunde|psu51
American Economic Review|2010|Espen R. Moen|pmo334
American Economic Review|2010|Christian Riis|pri2
American Economic Review|2010|Christopher T. Taylor|ppi12
American Economic Review|2010|Nicholas M. Kreisle|none
American Economic Review|2010|Paul R. Zimmerman|pzi17
American Economic Review|2010|Justine Hastings|pha804
American Economic Review|2010|Brian D. Kelly|none
American Economic Review|2010|Bruce A. Blonigen|pbl165
American Economic Review|2010|Stephen E. Haynes|none
American Economic Review|2010|David P. Baron|none
American Economic Review|2010|Miguel A. León-Ledesma|ple108
American Economic Review|2010|Peter McAdam|pmc38
American Economic Review|2010|Alpo Willman|pwi210
American Economic Review|2010|Yan Chen|pch1446
American Economic Review|2010|F. Maxwell Harper|none
American Economic Review|2010|Joseph Konstan|none
American Economic Review|2010|Sherry Xin Li|pli1149
American Economic Review|2010|Leemore S. Dafny|none
American Economic Review|2010|Hamish Low|plo34
American Economic Review|2010|Costas Meghir|pme144
American Economic Review|2010|Luigi Pistaferri|ppi39
American Economic Review|2010|Andrea Galeotti|pga17
American Economic Review|2010|Sanjeev Goyal|pgo329
American Economic Review|2010|Ellen R. McGrattan|pmc46
American Economic Review|2010|Edward C. Prescott|ppr10
American Economic Review|2010|Fernando Broner|pbr162
American Economic Review|2010|Alberto Martin|pma513
American Economic Review|2010|Jaume Ventura|pve110
American Economic Review|2010|Benjamin Bushong|pbu475
American Economic Review|2010|Lindsay M. King|pbu475
American Economic Review|2010|Colin F. Camerer|pca47
American Economic Review|2010|Antonio Rangel|none
American Economic Review|2010|Pranab Bardhan|pba284
American Economic Review|2010|Dilip Mookherjee|pmo51
American Economic Review|2010|Iñaki Aguirre|pag26
American Economic Review|2010|Simon Cowan|pco230
American Economic Review|2010|John Vickers|pvi114
American Economic Review|2010|Faruk Gul|none
American Economic Review|2010|Wolfgang Pesendorfer|ppe7
American Economic Review|2010|E. Glen Weyl|pwe266
American Economic Review|2010|Isabel Correia|pco92
American Economic Review|2010|Tore Ellingsen|pel76
American Economic Review|2010|Robert Östling|pst401
American Economic Review|2010|Ingela Alger|pal24
American Economic Review|2010|Jörgen W. Weibull|pwe185
American Economic Review|2010|Roberto Chang|pch80
American Economic Review|2010|Steven T. Anderson|none
American Economic Review|2010|Daniel Friedman|pop18
American Economic Review|2010|Daniel Friedman|pop18
American Economic Review|2010|Ryan Oprea|pop18
American Economic Review|2010|Hanan G. Jacoby|pja188
American Economic Review|2010|Ghazala Mansuri|pma873
American Economic Review|2010|John R. Hamman|pha619
American Economic Review|2010|George Loewenstein|plo51
American Economic Review|2010|Roberto A. Weber|pwe237
American Economic Review|2010|Anna Aizer|none
American Economic Review|2010|Anna Aizer|none
American Economic Review|2010|Caterina Calsamiglia|pca150
American Economic Review|2010|Guillaume Haeringer|pha5
American Economic Review|2010|Flip Klijn|pkl6
American Economic Review|2010|Jeremy Greenwood|pgr12
American Economic Review|2010|Juan M. Sanchez|psa150
American Economic Review|2010|Cheng Wang|pwa721
American Economic Review|2010|Francesco Feri|none
American Economic Review|2010|Bernd Irlenbusch|none
American Economic Review|2010|Matthias Sutter|psu6
American Economic Review|2010|Daniel J. Benjamin|pbe959
American Economic Review|2010|James J. Choi|pch323
American Economic Review|2010|A. Joshua Strickland|none
American Economic Review|2010|Yeon-Koo Che|pch91
American Economic Review|2010|Jinwoo Kim|pki188
American Economic Review|2010|Enrique G. Mendoza|pme30
American Economic Review|2010|Atif Mian|pmi415
American Economic Review|2010|Amir Sufi|psu303
American Economic Review|2010|Francesco Trebbi|ptr40
American Economic Review|2010|Marc-Andreas Muendler|pmu63
American Economic Review|2010|Sascha O. Becker|pbe98
American Economic Review|2010|Diego Comin|pco55
American Economic Review|2010|Bart Hobijn|pho54
American Economic Review|2010|Yann Algan|pal51
American Economic Review|2010|Pierre Cahuc|pca333
American Economic Review|2010|Michael E. Waugh|pwa234
American Economic Review|2010|Christopher Avery|pav7
American Economic Review|2010|Jonathan Levin|ple318
American Economic Review|2010|James E. Anderson|pan2
American Economic Review|2010|Yoto V. Yotov|pyo93
American Economic Review|2010|Brit Grosskopf|pgr176
American Economic Review|2010|Rajiv Sarin|none
American Economic Review|2010|Pedro Dal Bo|pda45
American Economic Review|2010|Andrew Foster|pfo3
American Economic Review|2010|Louis Putterman|ppu14
American Economic Review|2010|Ron Siegel|psi784
American Economic Review|2010|Antonio Cabrales|pca5
American Economic Review|2010|Raffaele Miniaci|pmi19
American Economic Review|2010|Marco Piovesan|ppi143
American Economic Review|2010|Giovanni Ponti|ppo102
American Economic Review|2010|Paul Heidhues|phe34
American Economic Review|2010|Botond Koszegi|pko590
American Economic Review|2010|George Alessandria|pal70
American Economic Review|2010|Joseph P. Kaboski|pka175
American Economic Review|2010|Virgiliu Midrigan|pmi156
American Economic Review|2010|Georg Weizsacker|pwe277
American Economic Review|2010|Archishman Chakraborty|pch423
American Economic Review|2010|Nava Ashraf|none
American Economic Review|2010|James Berry|pbe645
American Economic Review|2010|Jesse M. Shapiro|psh70
American Economic Review|2010|Andrew Ellul|pel137
American Economic Review|2010|Marco Pagano|ppa56
American Economic Review|2010|Fausto Panunzi|none
American Economic Review|2010|Fabian Herweg|phe256
American Economic Review|2010|Daniel Muller|pmu607
American Economic Review|2010|Philipp Weinschenk|none
American Economic Review|2010|Matthew Ellman|pel67
American Economic Review|2010|Paul Pezanis-Christou|ppe35
American Economic Review|2010|Piet Eichholtz|none
American Economic Review|2010|Nils Kok|pko380
American Economic Review|2010|John M. Quigley|pqu1
American Economic Review|2010|Javier Garcia-Cicco|pga459
American Economic Review|2010|Roberto Pancrazi|ppa621
American Economic Review|2010|Martin Uribe|pur9
American Economic Review|2010|Philippe Chone|pla208
American Economic Review|2010|Philippe Chone|pla208
American Economic Review|2010|Guy Laroque|pla208
American Economic Review|2010|Jose Apesteguia|pap14
American Economic Review|2010|Ignacio Palacios-Huerta|ppa164
American Economic Review|2011|Kenneth J. Arrow|par7
American Economic Review|2011|B. Douglas Bernheim|pbe81
American Economic Review|2011|Martin S. Feldstein|pfe112
American Economic Review|2011|Daniel L. McFadden|pmc7
American Economic Review|2011|James M. Poterba|ppo19
American Economic Review|2011|Robert M. Solow|pso18
American Economic Review|2011|Robert A. Margo|pma319
American Economic Review|2011|Katharine Coman|none
American Economic Review|2011|Elinor Ostrom|pos55
American Economic Review|2011|Gary D. Libecap|pli409
American Economic Review|2011|Robert N. Stavins|pst167
American Economic Review|2011|Thomas J. Sargent|psa83
American Economic Review|2011|Thomas J. Sargent|psa83
American Economic Review|2011|Paolo Surico|psu32
American Economic Review|2011|Devin G. Pope|none
American Economic Review|2011|Maurice E. Schweitzer|none
American Economic Review|2011|Justin McCrary|none
American Economic Review|2011|Heather Royer|pro423
American Economic Review|2011|Zheng Song|pso166
American Economic Review|2011|Kjetil Storesletten|pst4
American Economic Review|2011|Fabrizio Zilibotti|pzi3
American Economic Review|2011|Martin Eichenbaum|pei4
American Economic Review|2011|Nir Jaimovich|pja325
American Economic Review|2011|Sergio Rebelo|pre4
American Economic Review|2011|Chenghuan Sean Chu|none
American Economic Review|2011|Phillip Leslie|ple710
American Economic Review|2011|Alan Sorensen|none
American Economic Review|2011|Paula Bustos|pbu250
American Economic Review|2011|Olivier Coibion|pco205
American Economic Review|2011|Yuriy Gorodnichenko|pgo175
American Economic Review|2011|Aleksander Berentsen|pbe22
American Economic Review|2011|Guido Menzio|pme246
American Economic Review|2011|Randall Wright|pwr2
American Economic Review|2011|Atila Abdulkadiroglu|none
American Economic Review|2011|Yeon-Koo Che|pch91
American Economic Review|2011|Yosuke Yasuda|pya185
American Economic Review|2011|Pedro Dal Bo|pda45
American Economic Review|2011|Guillaume R. Frochette|pfr202
American Economic Review|2011|Robert A. Moffitt|none
American Economic Review|2011|Robert E. Hall|pha128
American Economic Review|2011|Johannes Abeler|pab169
American Economic Review|2011|Armin Falk|pfa48
American Economic Review|2011|Lorenz Goette|none
American Economic Review|2011|David Huffman|phu45
American Economic Review|2011|Ernst Fehr|pfe29
American Economic Review|2011|Oliver Hart|pha222
American Economic Review|2011|Christian Zehnder|pze32
American Economic Review|2011|Uwe Dulleck|pdu12
American Economic Review|2011|Rudolf Kerschbamer|pke324
American Economic Review|2011|Matthias Sutter|psu6
American Economic Review|2011|Thomas Dohmen|pdo43
American Economic Review|2011|Armin Falk|pfa48
American Economic Review|2011|Levon Barseghyan|pba303
American Economic Review|2011|Jeffrey Prince|pbo850
American Economic Review|2011|Jeffrey Prince|pbo850
American Economic Review|2011|Joshua C. Teitelbaum|pte308
American Economic Review|2011|Alessandro Bonatti|pbo878
American Economic Review|2011|Johannes Horner|phr34
American Economic Review|2011|Hans-Martin von Gaudecker|pvo35
American Economic Review|2011|Arthur van Soest|pva270
American Economic Review|2011|Erik Wengstrom|pwe90
American Economic Review|2011|Mohammed Abdellaoui|pab230
American Economic Review|2011|Aurelien Baillon|pba869
American Economic Review|2011|Laetitia Placido|ppl44
American Economic Review|2011|Peter P. Wakker|pwa205
